time,plastic,non metalic minerals,chemical,metal 1,metal 2,metal 3,total_demand,wind_output,pv_generation,,wind_output2,pv_generation2
1/31/2019 14:00,0.3716,907.287543736266,3.4215,281.4991,6.64E-177,362.1168,1554.69654373626,0.424758058130011,7.45129486976721,,424.758058130011,7451.29486976721
1/31/2019 15:00,0.5111,908.556839560442,3.8778,367.8682,4.15E-178,362.1168,1642.93073956044,1.98561961835462,5.4119206970689,,1985.61961835462,5411.9206970689
1/31/2019 16:00,0.4646,909.826135384618,3.8777,403.0556,2.59E-179,362.1168,1679.34083538461,9.7975526391011,2.51870720938472,,9797.5526391011,2518.70720938472
1/31/2019 17:00,0.4646,911.095431208794,6.3869,383.8624,1.62E-180,346.3726,1648.18193120879,19.2461418358229,0.280845011843686,,19246.1418358229,280.845011843686
1/31/2019 18:00,1.8585,912.364727032969,4.2199,323.0844,1.01E-181,272.8996,1514.42712703296,29.2631451126356,0,,29263.1451126356,-3.42
1/31/2019 19:00,2.13729999999999,913.634022857142,2.9654,316.6867,6.34E-183,278.1477,1513.57112285714,42.1891267569204,0,,42189.1267569204,-3.42
1/31/2019 20:00,0.5576,914.903318681318,2.3951,319.8855,3.96E-184,278.1477,1515.88921868131,60.5745159881563,0,,60574.5159881563,-3.42
1/31/2019 21:00,0.3716,916.172614505494,5.7027,323.0844,2.47E-185,278.1477,1523.47901450549,78.9890244436595,0,,78989.0244436595,-3.42
1/31/2019 22:00,0.5576,917.44191032967,2.281,303.8911,1.55E-186,278.1477,1502.31931032966,93.6390751029856,0,,93639.0751029856,-3.42
1/31/2019 23:00,0.3716,918.711206153846,2.9653,297.4933,9.67E-188,283.3958,1502.93720615384,109.652712855708,0,,109652.712855708,-3.42
2/1/2019 0:00,0.3716,919.980501978022,2.62319999999999,294.294499999999,6.04E-189,278.1477,1495.41750197802,129.510355707955,0,,129510.355707955,-3.42
2/1/2019 1:00,0.441425,921.249797802198,5.3605,300.692199999999,3.78E-190,278.1477,1505.89162280219,139.036258109051,0,,139036.258109051,-3.42
2/1/2019 2:00,0.348425,922.519093626374,2.28099999999999,310.2889,2.36E-191,283.3958,1518.83321862637,137.807698406246,0,,137807.698406246,-3.42
2/1/2019 3:00,0.3716,923.78838945055,2.9653,303.8911,1.48E-192,278.1477,1509.16408945055,122.286798152449,0,,122286.798152449,-3.42
2/1/2019 4:00,0.5111,925.057685274726,3.8778,297.4933,9.22E-194,283.3958,1510.33568527472,79.0997823485127,0,,79099.7823485127,-3.42
2/1/2019 5:00,0.371675,926.326981098902,4.334,307.09,5.76E-195,272.8996,1511.0222560989,76.2530853206442,0,,76253.0853206442,-3.42
